Jan  4 2017 06:03:33.505524000 UTC,1483509813,103,213.184.8.150,server-19000002.example.int,0x00000001,1,0,0x0000177f,1.2322024819910777E-6,3487605
Jan  4 2017 01:42:01.151455000 UTC,1483494121,170,134.20.0.154,randomname.bankofmoney.com,0x00000001,1,0,0x00001781,1.3047312952678294E-6,3668904
Jan  4 2017 01:42:01.153458000 UTC,1483494121,170,134.20.0.154,randomname.bankofmoney.com,0x00000001,1,0,0x00001781,1.3047312952678294E-6,3668905
Jan  4 2017 01:42:01.153461000 UTC,1483494121,170,134.20.0.154,randomname.bankofmoney.com,0x00000001,1,0,0x00001781,1.3047312952678294E-6,3668906
Jan  4 2017 01:42:01.153467000 UTC,1483494121,170,134.20.0.154,randomname.bankofmoney.com,0x00000001,1,0,0x00001781,1.3047312952678294E-6,3668907
Jan  4 2017 01:42:01.153469000 UTC,1483494121,170,134.20.0.154,randomname.bankofmoney.com,0x00000001,1,0,0x00001781,1.3047312952678294E-6,3668908
Jan  4 2017 01:42:01.153469000 UTC,1483494121,170,134.20.0.154,randomname.bankofmoney.com,0x00000001,1,0,0x00001781,1.3047312952678294E-6,3668909
Jan  4 2017 01:42:01.153471000 UTC,1483494121,170,134.20.0.154,randomname.bankofmoney.com,0x00000001,1,0,0x00001781,1.3047312952678294E-6,3668910
Jan  4 2017 01:42:01.153472000 UTC,1483494121,170,134.20.0.154,randomname.bankofmoney.com,0x00000001,1,0,0x00001781,1.3047312952678294E-6,3668911
Jan  4 2017 01:42:01.153473000 UTC,1483494121,170,134.20.0.154,randomname.bankofmoney.com,0x00000001,1,0,0x00001781,1.3047312952678294E-6,3668912
Jan  4 2017 01:42:01.155456000 UTC,1483494121,170,134.20.0.154,randomname.bankofmoney.com,0x00000001,1,0,0x00001781,1.3047312952678294E-6,3668913
Jan  4 2017 01:42:01.155468000 UTC,1483494121,170,134.20.0.154,randomname.bankofmoney.com,0x00000001,1,0,0x00001781,1.3047312952678294E-6,3668914
