Jan  4 2017 03:57:00.893537000 UTC,1483502220,103,213.184.8.155,server-86140096.example.int,0x00000001,1,0,0x00001782,1.5157066147760628E-6,3463576
Jan  4 2017 01:42:36.059914000 UTC,1483494156,170,134.20.0.153,randomname.bankofmoney.com,0x00000001,1,0,0x00001781,1.665376222449834E-6,3726674
Jan  4 2017 01:42:36.059917000 UTC,1483494156,170,134.20.0.153,randomname.bankofmoney.com,0x00000001,1,0,0x00001781,1.665376222449834E-6,3726675
Jan  4 2017 01:42:36.060854000 UTC,1483494156,170,134.20.0.153,randomname.bankofmoney.com,0x00000001,1,0,0x00001781,1.665376222449834E-6,3726676
Jan  4 2017 01:42:36.060864000 UTC,1483494156,170,134.20.0.153,randomname.bankofmoney.com,0x00000001,1,0,0x00001781,1.665376222449834E-6,3726677
Jan  4 2017 01:42:36.061795000 UTC,1483494156,170,134.20.0.153,randomname.bankofmoney.com,0x00000001,1,0,0x00001781,1.665376222449834E-6,3726678
Jan  4 2017 01:42:36.061797000 UTC,1483494156,170,134.20.0.153,randomname.bankofmoney.com,0x00000001,1,0,0x00001781,1.665376222449834E-6,3726679
Jan  4 2017 01:42:36.061798000 UTC,1483494156,170,134.20.0.153,randomname.bankofmoney.com,0x00000001,1,0,0x00001781,1.665376222449834E-6,3726680
Jan  4 2017 03:01:11.216835000 UTC,1483498871,232,122.52.0.222,cj9-9ge49n0hu2ryd4968fkzpn54f-zada3zrc9eflpdf9q8zskeu.mcafee.com,0x00000001,16,0,0x0000177b,4.0964515372322654E-5,13135673
Jan  4 2017 03:01:11.668326000 UTC,1483498871,232,122.52.0.222,cj9-74z55kmjryx4z4d294w06rdlbdfvx95evfojcowusg87vw8js.mcafee.com,0x00000001,16,0,0x0000177b,4.0964515372322654E-5,13135674
Jan  4 2017 03:01:12.668561000 UTC,1483498872,232,122.52.0.222,cj9-74z55kmjryx4z4d294w06rdlbdfvx95evfojcowusg87vw8js.mcafee.com,0x00000001,16,0,0x0000177b,4.0964515372322654E-5,13135675
Jan  4 2017 03:01:12.735560000 UTC,1483498872,232,122.52.0.222,cj9-9ge49n0hu2ryd4968fkzpn54f-zada3zrc9eflpdf9q8zskeu.mcafee.com,0x00000001,16,0,0x0000177b,4.0964515372322654E-5,13135676
Jan  4 2017 03:01:14.217710000 UTC,1483498874,232,122.52.0.222,cj9-74z55kmjryx4z4d294w06rdlbdfvx95evfojcowusg87vw8js.mcafee.com,0x00000001,16,0,0x0000177b,4.0964515372322654E-5,13135677
Jan  4 2017 03:01:14.667882000 UTC,1483498874,232,122.52.0.222,cj9-9ge49n0hu2ryd4968fkzpn54f-zada3zrc9eflpdf9q8zskeu.mcafee.com,0x00000001,16,0,0x0000177b,4.0964515372322654E-5,13135678
Jan  4 2017 03:01:17.216234000 UTC,1483498877,232,122.52.0.222,cj9-9ge49n0hu2ryd4968fkzpn54f-zada3zrc9eflpdf9q8zskeu.mcafee.com,0x00000001,16,0,0x0000177b,4.0964515372322654E-5,13135679
