"original","protocol","sip","sport","dip","dport"
"TCP 12.166.3.97:61633->25.0.11.70:80","TCP","12.166.3.97","61633","25.0.11.70","80"
"TCP 122.52.163.54:61633->25.0.12.121:80","TCP","122.52.163.54","61633","25.0.12.121","80"
"TCP 12.166.3.97:61633->25.0.11.70:80","TCP","12.166.3.97","61633","25.0.11.70","80"
"TCP 122.52.163.54:61633->25.0.12.121:80","TCP","122.52.163.54","61633","25.0.12.121","80"
"TCP 122.52.142.76:63266->25.0.11.206:8080","TCP","122.52.142.76","63266","25.0.11.206","8080"
"IP 122.52.142.76:0->25.0.11.206:0","IP","122.52.142.76","0","25.0.11.206","0"
"TCP 213.184.6.91:63266->25.0.10.224:8080","TCP","213.184.6.91","63266","25.0.10.224","8080"
"IP 213.184.6.91:0->25.0.10.224:0","IP","213.184.6.91","0","25.0.10.224","0"
"TCP 213.184.6.91:63266->25.0.10.224:8080","TCP","213.184.6.91","63266","25.0.10.224","8080"
"IP 122.52.142.76:0->25.0.11.206:0","IP","122.52.142.76","0","25.0.11.206","0"
"TCP 122.52.142.76:63266->25.0.11.206:8080","TCP","122.52.142.76","63266","25.0.11.206","8080"
"IP 213.184.6.91:0->25.0.10.224:0","IP","213.184.6.91","0","25.0.10.224","0"
"IP 12.166.2.96:0->25.0.11.247:0","IP","12.166.2.96","0","25.0.11.247","0"
"IP 213.184.5.244:0->25.0.12.252:0","IP","213.184.5.244","0","25.0.12.252","0"
"TCP 213.184.5.244:50203->25.0.12.252:80","TCP","213.184.5.244","50203","25.0.12.252","80"
"TCP 12.166.2.96:50203->25.0.11.247:80","TCP","12.166.2.96","50203","25.0.11.247","80"
"IP 12.166.2.96:0->25.0.11.247:0","IP","12.166.2.96","0","25.0.11.247","0"
"IP 213.184.5.244:0->25.0.12.252:0","IP","213.184.5.244","0","25.0.12.252","0"
"TCP 213.184.5.244:50203->25.0.12.252:80","TCP","213.184.5.244","50203","25.0.12.252","80"
"TCP 12.166.2.96:50203->25.0.11.247:80","TCP","12.166.2.96","50203","25.0.11.247","80"
"TCP 122.52.156.159:12879->25.0.12.224:443","TCP","122.52.156.159","12879","25.0.12.224","443"
"TCP 12.166.3.15:12879->25.0.11.206:443","TCP","12.166.3.15","12879","25.0.11.206","443"
"TCP 12.166.3.15:12879->25.0.11.206:443","TCP","12.166.3.15","12879","25.0.11.206","443"
"TCP 122.52.156.159:12879->25.0.12.224:443","TCP","122.52.156.159","12879","25.0.12.224","443"
"TCP 122.52.148.81:22087->25.0.11.101:80","TCP","122.52.148.81","22087","25.0.11.101","80"
"IP 213.184.6.148:0->25.0.11.45:0","IP","213.184.6.148","0","25.0.11.45","0"
"IP 122.52.148.81:0->25.0.11.101:0","IP","122.52.148.81","0","25.0.11.101","0"
"TCP 213.184.6.148:22087->25.0.11.45:80","TCP","213.184.6.148","22087","25.0.11.45","80"
"TCP 213.184.6.148:22087->25.0.11.45:80","TCP","213.184.6.148","22087","25.0.11.45","80"
