"time","sip","dip","sport","dport","score","rank","original","type","label","y","TP","FP"
"1","1","1",1,1,1,1,"1","1","1",0,0,0
"2016-11-11 22:38:24","12.166.7.147","25.0.19.14",47932,69,4.36879731968088e-09,326,"UDP 12.166.7.147:47932->25.0.19.14:69","UDP","bad",1,0.000144571345959231,1.01404605258391e-09
"2016-11-11 22:38:24","12.166.7.147","25.0.19.14",47932,69,4.36879731968088e-09,326,"UDP 12.166.7.147:47932->25.0.19.14:69","UDP","bad",2,0.000289142691918462,1.0109065911208e-09
"2016-11-11 22:41:42","80.66.18.21","25.0.19.44",28530,126,4.8019227856164e-09,361,"TCP 80.66.18.21:28530->25.0.19.44:126","TCP","bad",3,0.000433714037877693,1.11764828086648e-09
"2016-11-11 22:41:42","80.66.18.21","25.0.19.44",28530,126,4.8019227856164e-09,361,"TCP 80.66.18.21:28530->25.0.19.44:126","TCP","bad",4,0.000578285383836924,1.11450881940337e-09
"2016-11-11 13:37:08","122.52.144.90","25.0.11.213",5458,80,7.10361178807024e-09,456,"TCP 122.52.144.90:5458->25.0.11.213:80","TCP","bad",5,0.000722856729796154,1.40961819693553e-09
"2016-11-11 13:37:08","122.52.144.90","25.0.11.213",5458,80,7.10361178807024e-09,456,"TCP 122.52.144.90:5458->25.0.11.213:80","TCP","bad",6,0.000867428075755385,1.40647873547242e-09
"2016-11-11 13:37:08","122.52.144.90","25.0.11.213",5458,80,7.10361178807024e-09,456,"TCP 122.52.144.90:5458->25.0.11.213:80","TCP","bad",7,0.00101199942171462,1.40333927400931e-09
"2016-11-11 13:37:08","122.52.144.90","25.0.11.213",5458,80,7.10361178807024e-09,456,"TCP 122.52.144.90:5458->25.0.11.213:80","TCP","bad",8,0.00115657076767385,1.4001998125462e-09
"2016-11-11 22:37:58","122.52.239.142","25.0.19.70",55320,443,7.56737964644518e-09,514,"TCP 122.52.239.142:55320->25.0.19.70:443","TCP","bad",9,0.00130114211363308,1.57914911594336e-09
"2016-11-11 22:37:58","122.52.239.142","25.0.19.70",55320,443,7.56737964644518e-09,514,"TCP 122.52.239.142:55320->25.0.19.70:443","TCP","bad",10,0.00144571345959231,1.57600965448025e-09
"2016-11-11 22:50:42","213.184.19.116","25.0.18.74",24906,705,8.20224773262441e-09,559,"TCP 213.184.19.116:24906->25.0.18.74:705","TCP","bad",11,0.00159028480555154,1.71414595885701e-09
"2016-11-11 22:50:42","213.184.19.116","25.0.18.74",24906,705,8.20224773262441e-09,559,"TCP 213.184.19.116:24906->25.0.18.74:705","TCP","bad",12,0.00173485615151077,1.7110064973939e-09
"2016-11-11 22:37:08","80.66.18.32","25.0.17.136",11012,705,8.20224773262441e-09,560,"TCP 80.66.18.32:11012->25.0.17.136:705","TCP","bad",13,0.00187942749747,1.7110064973939e-09
"2016-11-11 22:37:08","80.66.18.32","25.0.17.136",11012,705,8.20224773262441e-09,560,"TCP 80.66.18.32:11012->25.0.17.136:705","TCP","bad",14,0.00202399884342923,1.70786703593079e-09
"2016-11-11 22:51:49","122.52.236.28","25.0.18.211",21242,69,8.31761468722225e-09,572,"UDP 122.52.236.28:21242->25.0.18.211:69","UDP","bad",15,0.00216857018938846,1.74240111202498e-09
"2016-11-11 22:51:49","122.52.236.28","25.0.18.211",21242,69,8.31761468722225e-09,572,"UDP 122.52.236.28:21242->25.0.18.211:69","UDP","bad",16,0.00231314153534769,1.73926165056188e-09
"2016-11-11 13:37:58","12.166.3.17","25.0.12.57",53518,22,8.73759463971174e-09,574,"TCP 12.166.3.17:53518->25.0.12.57:22","TCP","bad",17,0.00245771288130692,1.74240111202498e-09
"2016-11-11 13:37:58","12.166.3.17","25.0.12.57",53518,22,8.73759463971174e-09,574,"TCP 12.166.3.17:53518->25.0.12.57:22","TCP","bad",18,0.00260228422726616,1.73926165056188e-09
"2016-11-11 13:37:58","12.166.3.17","25.0.12.57",53518,22,8.73759463971174e-09,574,"TCP 12.166.3.17:53518->25.0.12.57:22","TCP","bad",19,0.00274685557322539,1.73612218909877e-09
"2016-11-11 13:37:58","12.166.3.17","25.0.12.57",53518,22,8.73759463971174e-09,574,"TCP 12.166.3.17:53518->25.0.12.57:22","TCP","bad",20,0.00289142691918462,1.73298272763566e-09
"2016-11-11 22:51:27","122.52.233.102","25.0.18.68",59182,123,8.73759463971174e-09,575,"UDP 122.52.233.102:59182->25.0.18.68:123","UDP","bad",21,0.00303599826514385,1.73298272763566e-09
"2016-11-11 22:51:27","122.52.233.102","25.0.18.68",59182,123,8.73759463971174e-09,575,"UDP 122.52.233.102:59182->25.0.18.68:123","UDP","bad",22,0.00318056961110308,1.72984326617255e-09
"2016-11-11 13:41:50","12.166.2.131","25.0.11.157",8233,22,8.73759463971174e-09,577,"TCP 12.166.2.131:8233->25.0.11.157:22","TCP","bad",23,0.00332514095706231,1.73298272763566e-09
"2016-11-11 13:41:50","12.166.2.131","25.0.11.157",8233,22,8.73759463971174e-09,577,"TCP 12.166.2.131:8233->25.0.11.157:22","TCP","bad",24,0.00346971230302154,1.72984326617255e-09
"2016-11-11 13:41:50","12.166.2.131","25.0.11.157",8233,22,8.73759463971174e-09,577,"TCP 12.166.2.131:8233->25.0.11.157:22","TCP","bad",25,0.00361428364898077,1.72670380470944e-09
"2016-11-11 13:41:50","12.166.2.131","25.0.11.157",8233,22,8.73759463971174e-09,577,"TCP 12.166.2.131:8233->25.0.11.157:22","TCP","bad",26,0.00375885499494,1.72356434324633e-09
"2016-11-11 22:40:44","80.66.16.147","25.0.18.73",51482,135,8.73759463971174e-09,579,"TCP 80.66.16.147:51482->25.0.18.73:135","TCP","bad",27,0.00390342634089923,1.72670380470944e-09
"2016-11-11 22:40:44","80.66.16.147","25.0.18.73",51482,135,8.73759463971174e-09,579,"TCP 80.66.16.147:51482->25.0.18.73:135","TCP","bad",28,0.00404799768685846,1.72356434324633e-09
"2016-11-11 22:37:55","213.184.20.59","25.0.19.62",58642,123,8.73759463971174e-09,580,"UDP 213.184.20.59:58642->25.0.19.62:123","UDP","bad",29,0.0041925690328177,1.72356434324633e-09
"2016-11-11 22:37:55","213.184.20.59","25.0.19.62",58642,123,8.73759463971174e-09,580,"UDP 213.184.20.59:58642->25.0.19.62:123","UDP","bad",30,0.00433714037877693,1.72042488178323e-09
"2016-11-11 22:54:04","213.184.22.197","25.0.18.78",4388,135,8.73759463971174e-09,581,"TCP 213.184.22.197:4388->25.0.18.78:135","TCP","bad",31,0.00448171172473616,1.72042488178323e-09
"2016-11-11 22:54:04","213.184.22.197","25.0.18.78",4388,135,8.73759463971174e-09,581,"TCP 213.184.22.197:4388->25.0.18.78:135","TCP","bad",32,0.00462628307069539,1.71728542032012e-09
"2016-11-11 13:39:30","12.166.2.118","25.0.11.56",46429,443,9.60384557161748e-09,668,"TCP 12.166.2.118:46429->25.0.11.56:443","TCP","bad",33,0.00477085441665462,1.98727910614741e-09
"2016-11-11 13:39:30","12.166.2.118","25.0.11.56",46429,443,9.60384557161748e-09,668,"TCP 12.166.2.118:46429->25.0.11.56:443","TCP","bad",34,0.00491542576261385,1.9841396446843e-09
"2016-11-11 13:39:30","12.166.2.118","25.0.11.56",46429,443,9.60384557161748e-09,668,"TCP 12.166.2.118:46429->25.0.11.56:443","TCP","bad",35,0.00505999710857308,1.9810001832212e-09
"2016-11-11 13:39:30","12.166.2.118","25.0.11.56",46429,443,9.60384557161748e-09,668,"TCP 12.166.2.118:46429->25.0.11.56:443","TCP","bad",36,0.00520456845453231,1.97786072175809e-09
