"host","score","rank","label","y","TP","FP"
"1","1",0,"null",0,0,0
"61.178.77.170","3.82662814415347e-06",2556,"bad",1,0.00952380952380952,0.000281562177100955
"trapbath.ru","4.83410226703146e-06",4135,"bad",2,0.019047619047619,0.0004555947330999
"trapbath.ru","4.92915590747625e-06",4260,"bad",3,0.0285714285714286,0.000469270295168258
"trapbath.ru","4.92915590964309e-06",4261,"bad",4,0.0380952380952381,0.000469270295168258
"trapbath.ru","5.04254583613788e-06",4419,"bad",5,0.0476190476190476,0.000486585321335454
"trapbath.ru","6.64571613636096e-06",7161,"bad",6,0.0571428571428571,0.000788881415120694
"trapbath.ru","6.79733876393704e-06",7400,"bad",7,0.0666666666666667,0.000815129671348672
"vcvcvcvc.dyndns.org ","7.8602623299194e-06",9229,"bad",8,0.0761904761904762,0.00101673392506608
"61.178.77.169","8.66544679600402e-06",10664,"bad",9,0.0857142857142857,0.00117488518317919
"mugspade.ru","8.84054172642121e-06",10997,"bad",10,0.0952380952380952,0.00121150039774931
"61.178.77.169","9.7222983775914e-06",12416,"bad",11,0.104761904761905,0.00136788706720844
"vcvcvcvc.dyndns.org ","1.0424303632428e-05",13515,"bad",12,0.114285714285714,0.00148898196358793
"rwyngtbvunfpk.org\r\n","1.29525600033177e-05",17621,"bad",13,0.123809523809524,0.00194170924012511
"rwyngtbvunfpk.org\r\n","1.29525600033177e-05",17622,"bad",14,0.133333333333333,0.00194170924012511
"rwyngtbvunfpk.org\r\n","1.29525600033177e-05",17623,"bad",15,0.142857142857143,0.00194170924012511
"takeinfo.ru\r\n","1.29525600033177e-05",17624,"bad",16,0.152380952380952,0.00194170924012511
"dgyqimolcqm.cm\r\n","1.29525600033177e-05",17625,"bad",17,0.161904761904762,0.00194170924012511
"dgyqimolcqm.cm\r\n","1.29525600033177e-05",17626,"bad",18,0.171428571428571,0.00194170924012511
"dgyqimolcqm.cm\r\n","1.29525600033177e-05",17627,"bad",19,0.180952380952381,0.00194170924012511
"dgyqimolcqm.cm\r\n","1.29525600033177e-05",17628,"bad",20,0.19047619047619,0.00194170924012511
"http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1","1.42339221100055e-05",19506,"bad",21,0.2,0.00214871754659534
"http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1","1.42339221100055e-05",19507,"bad",22,0.20952380952381,0.00214871754659534
"http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1","1.42339221100055e-05",19508,"bad",23,0.219047619047619,0.00214871754659534
"http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1","1.42339221100055e-05",19509,"bad",24,0.228571428571429,0.00214871754659534
"trapbath.ru","1.42339221100055e-05",19510,"bad",25,0.238095238095238,0.00214871754659534
"trapbath.ru","1.42339221100055e-05",19511,"bad",26,0.247619047619048,0.00214871754659534
"trapbath.ru","1.42339221100055e-05",19512,"bad",27,0.257142857142857,0.00214871754659534
"sgb-sy.com","1.42339221100055e-05",19513,"bad",28,0.266666666666667,0.00214871754659534
