Nov 10, 2016 8:39:56 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 10, 2016 8:39:57 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 10, 2016 8:39:57 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 10, 2016 8:39:57 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 17 ms. row count = 105
146.185.213.35,1.5207737947253955E-4,165779
mugspade.ru,8.782980089622188E-4,620922
www.redlinesys.net,0.0013569109364955706,855559
omegaartworld.com,0.0013569109377572124,855560
61.178.77.169,3.1938262422700162E-6,1673
61.178.77.170,3.6286527096475677E-6,2300
61.178.77.169,4.725751717363912E-6,4140
vcvcvcvc.dyndns.org ,7.448014436046815E-6,8760
vcvcvcvc.dyndns.org ,9.878408038106798E-6,12838
vcvcvcvc.dyndns.org ,1.0874894488796234E-5,14520
vcvcvcvc.dyndns.org ,1.0874894488796234E-5,14521
vcvcvcvc.dyndns.org ,1.0874894488796234E-5,14522
www.dnswatch.info,1.0959623937449998E-5,14652
rwyngtbvunfpk.org\r\n,1.3908653596619882E-5,19449
rwyngtbvunfpk.org\r\n,1.3908653596619882E-5,19450
rwyngtbvunfpk.org\r\n,1.3908653596619882E-5,19451
takeinfo.ru\r\n,1.3908653596619882E-5,19452
dgyqimolcqm.cm\r\n,1.3908653596619882E-5,19453
dgyqimolcqm.cm\r\n,1.3908653596619882E-5,19454
dgyqimolcqm.cm\r\n,1.3908653596619882E-5,19455
dgyqimolcqm.cm\r\n,1.3908653596619882E-5,19456
vcvcvcvc.dyndns.org ,1.4896028873787502E-5,20850
vcvcvcvc.dyndns.org ,1.4896028873790545E-5,20851
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.5280331316825777E-5,21501
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.5280331316825777E-5,21502
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.5280331316825777E-5,21503
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.5280331316825777E-5,21504
trapbath.ru,1.5280331316825777E-5,21505
trapbath.ru,1.5280331316825777E-5,21506
trapbath.ru,1.5280331316825777E-5,21507
sgb-sy.com,1.5280331316825777E-5,21508
sgb-sy.com,1.5280331316825777E-5,21509
sgb-sy.com,1.5280331316825777E-5,21510
sgb-sy.com,1.5280331316825777E-5,21511
telecrop.com,1.5280331316825777E-5,21512
telecrop.com,1.5280331316825777E-5,21513
telecrop.com,1.5280331316825777E-5,21514
telecrop.com,1.5280331316825777E-5,21515
nginx,1.5280331316825777E-5,21516
nginx,1.5280331316825777E-5,21517
www.download.windowsupdate.com,1.5280331316825777E-5,21518
www.download.windowsupdate.com,1.5280331316825777E-5,21519
www.download.windowsupdate.com,1.5280331316825777E-5,21520
www.download.windowsupdate.com,1.5280331316825777E-5,21521
www.download.windowsupdate.com,1.5280331316825777E-5,21522
www.dnswatch.info,1.8498040367473227E-5,26187
trapbath.ru,1.8752709830829545E-5,26568
trapbath.ru,1.8752709830829545E-5,26569
trapbath.ru,1.875270984177407E-5,26570
trapbath.ru,1.875270984675139E-5,26571
vcvcvcvc.dyndns.org ,1.975681607700511E-5,27982
vcvcvcvc.dyndns.org ,1.9756816077005294E-5,27983
146.185.213.35,2.1682431774356716E-5,30523
rwyngtbvunfpk.org\r\n,2.781730719157226E-5,38758
rwyngtbvunfpk.org\r\n,2.781730719157226E-5,38759
64.235.43.131,2.781730719157226E-5,38760
64.235.43.131,2.781730719157226E-5,38761
64.235.43.131,2.781730719157226E-5,38762
takeinfo.ru\r\n,2.781730719157226E-5,38763
takeinfo.ru\r\n,2.781730719157226E-5,38764
takeinfo.ru\r\n,2.781730719157226E-5,38765
takeinfo.ru\r\n,2.781730719157226E-5,38766
nginx/0.7.67\r\n,2.781730719157226E-5,38767
nginx/0.7.67\r\n,2.781730719157226E-5,38768
www.dnswatch.info,2.891955058154625E-5,40189
trapbath.ru,3.05606626318196E-5,42412
trapbath.ru,3.05606626318196E-5,42413
64.235.43.131,3.05606626318196E-5,42414
64.235.43.131,3.05606626318196E-5,42415
64.235.43.131,3.05606626318196E-5,42416
sgb-sy.com,3.05606626318196E-5,42417
sgb-sy.com,3.05606626318196E-5,42418
telecrop.com,3.05606626318196E-5,42419
telecrop.com,3.05606626318196E-5,42420
nginx,3.05606626318196E-5,42421
nginx,3.05606626318196E-5,42422
trapbath.ru,3.7505419685050426E-5,51235
trapbath.ru,3.750541969500506E-5,51236
nginx/0.7.67\r\n,4.1725960787017706E-5,56121
64.235.43.131,4.5840993947355114E-5,60996
64.235.43.131,4.5840993947355114E-5,60997
nginx,4.5840993947355114E-5,60998
nginx,4.5840993947355114E-5,60999
nginx,4.5840993947355114E-5,61000
nginx,4.5840993947355114E-5,61001
nginx,4.5840993947355114E-5,61002
nginx,4.5840993947355114E-5,61003
146.185.213.35,1.0190050705449427E-4,119011
firewall.happytohell.com,7.393824544549049E-4,548258
firewall.happytohell.com,7.407335000587712E-4,549056
omegaartworld.com,8.095026072526576E-4,585089
firewall.happytohell.com,0.002911571415717213,1441224
omegaartworld.com,0.0014438096058559066,894834
64.235.43.131,6.954326798072802E-5,87122
64.235.43.131,6.954326798072802E-5,87123
