Nov 26, 2016 10:12:44 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 26, 2016 10:12:44 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 26, 2016 10:12:44 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 26, 2016 10:12:44 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 21 ms. row count = 105
146.185.213.35,7.476726854237201E-5,164024
146.185.213.35,7.720057560303425E-5,168144
omegaartworld.com,1.5870608764094286E-4,294827
firewall.happytohell.com,5.050757284954329E-4,684926
trapbath.ru,1.6611579932165785E-6,2461
trapbath.ru,1.6611582717822767E-6,2462
trapbath.ru,2.0456757672683032E-6,3838
trapbath.ru,2.237878580046192E-6,4479
61.178.77.169,2.425890390301075E-6,5127
trapbath.ru,2.474616017749968E-6,5324
www.dnswatch.info,3.0488813436863588E-6,7452
vcvcvcvc.dyndns.org ,3.0605443489574336E-6,7500
vcvcvcvc.dyndns.org ,3.0605443489574345E-6,7501
vcvcvcvc.dyndns.org ,3.0605443489574345E-6,7502
61.178.77.170,3.062029362359587E-6,7510
rwyngtbvunfpk.org\r\n,3.454382001853051E-6,8931
rwyngtbvunfpk.org\r\n,3.454382001853051E-6,8932
rwyngtbvunfpk.org\r\n,3.454382001853051E-6,8933
takeinfo.ru\r\n,3.454382001853051E-6,8934
dgyqimolcqm.cm\r\n,3.454382001853051E-6,8935
dgyqimolcqm.cm\r\n,3.454382001853051E-6,8936
dgyqimolcqm.cm\r\n,3.454382001853051E-6,8937
dgyqimolcqm.cm\r\n,3.454382001853051E-6,8938
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,3.4544454453312686E-6,8939
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,3.4544454453312686E-6,8940
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,3.4544454453312686E-6,8941
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,3.4544454453312686E-6,8942
trapbath.ru,3.4544454453312686E-6,8943
trapbath.ru,3.4544454453312686E-6,8944
trapbath.ru,3.4544454453312686E-6,8945
sgb-sy.com,3.4544454453312686E-6,8946
sgb-sy.com,3.4544454453312686E-6,8947
sgb-sy.com,3.4544454453312686E-6,8948
sgb-sy.com,3.4544454453312686E-6,8949
telecrop.com,3.4544454453312686E-6,8950
telecrop.com,3.4544454453312686E-6,8951
telecrop.com,3.4544454453312686E-6,8952
telecrop.com,3.4544454453312686E-6,8953
nginx,3.4544454453312686E-6,8954
nginx,3.4544454453312686E-6,8955
www.download.windowsupdate.com,3.4544454453312686E-6,8956
www.download.windowsupdate.com,3.4544454453312686E-6,8957
www.download.windowsupdate.com,3.4544454453312686E-6,8958
www.download.windowsupdate.com,3.4544454453312686E-6,8959
www.download.windowsupdate.com,3.4544454453312686E-6,8960
146.185.213.35,3.493135874094684E-6,9064
trapbath.ru,4.825478545737397E-6,13487
vcvcvcvc.dyndns.org ,5.449822615600954E-6,15542
vcvcvcvc.dyndns.org ,5.551369134177336E-6,15876
61.178.77.169,6.067137655553079E-6,17621
rwyngtbvunfpk.org\r\n,6.9088654244823835E-6,20170
rwyngtbvunfpk.org\r\n,6.9088654244823835E-6,20171
64.235.43.131,6.9088654244823835E-6,20172
64.235.43.131,6.9088654244823835E-6,20173
64.235.43.131,6.9088654244823835E-6,20174
takeinfo.ru\r\n,6.9088654244823835E-6,20175
takeinfo.ru\r\n,6.9088654244823835E-6,20176
takeinfo.ru\r\n,6.9088654244823835E-6,20177
takeinfo.ru\r\n,6.9088654244823835E-6,20178
nginx/0.7.67\r\n,6.9088654244823835E-6,20179
nginx/0.7.67\r\n,6.908887186059958E-6,20180
64.235.43.131,6.908927094704491E-6,20181
trapbath.ru,6.908948844289029E-6,20182
trapbath.ru,6.908948844289029E-6,20183
64.235.43.131,6.908948844289029E-6,20184
64.235.43.131,6.908948844289029E-6,20185
sgb-sy.com,6.908948844289029E-6,20186
sgb-sy.com,6.908948844289029E-6,20187
telecrop.com,6.908948844289029E-6,20188
telecrop.com,6.908948844289029E-6,20189
nginx,6.908948844289029E-6,20190
nginx,6.908948844289029E-6,20191
www.dnswatch.info,9.349373422112205E-6,27364
nginx/0.7.67\r\n,1.0363377898492469E-5,30396
64.235.43.131,1.0363437761752216E-5,30397
64.235.43.131,1.0363437761752216E-5,30398
nginx,1.0363452262566307E-5,30399
nginx,1.0363452262566307E-5,30400
nginx,1.0363452262566307E-5,30401
nginx,1.0363452262566307E-5,30402
nginx,1.0363452262566307E-5,30403
nginx,1.0363452262566307E-5,30404
vcvcvcvc.dyndns.org ,1.0900397954891217E-5,31925
vcvcvcvc.dyndns.org ,1.0900397954891217E-5,31926
vcvcvcvc.dyndns.org ,1.1103294505903023E-5,32475
vcvcvcvc.dyndns.org ,1.1103294505903023E-5,32476
www.dnswatch.info,3.256230619656953E-5,83721
mugspade.ru,3.29227891541441E-5,84465
mugspade.ru,3.3750102287873545E-5,86127
mugspade.ru,4.338026597732031E-5,106149
www.redlinesys.net,2.2081111172741097E-4,377288
www.redlinesys.net,2.291433938199308E-4,387325
omegaartworld.com,2.3150087672654533E-4,390861
firewall.happytohell.com,6.499877814179138E-4,819153
firewall.happytohell.com,3.2595661685251554E-4,501988
firewall.happytohell.com,4.1164776671479344E-4,592400
64.235.43.131,1.727232452281525E-5,48320
64.235.43.131,1.727232452281525E-5,48321
nginx/0.7.67\r\n,1.727232452281525E-5,48322
nginx/0.7.67\r\n,1.727232452281525E-5,48323
64.235.43.131,1.727242429508906E-5,48324
omegaartworld.com,1.8577777769667885E-4,331915
